hata,hata_tipi
Otopark temel süzgeç kenarı beton bitiş kusuru ,İmalat Hatası
Otopark temel soğuk derzden beton dökülmemiş kısıma çimento şerbeti sızması ,İmalat Hatası
Otopark temeli üzeri mobil vinç beton pompasından zemine motor yağı sızması temel yüzeyine zarar verilmesi ,İmalat Hatası
Otopark temel soğuk derz kesim yerinden beton dökülmemiş bölüme beton çimento şerbeti sızması ,İmalat Hatası
Betonarme imalat kalitesiyle ilgili uygulama sorunları ,Yapım Yöntemine Uygunsuzluk
İksa dolgu betonu esnasında kalıbın açması perde izolasyon arkasına beton dolması ,İmalat Hatası
Kule altı asansör kuyusu etrafı K2B411AOBA aksarı arası grobeton yüzeyine perdah yapılmaması ,Yapım Yöntemine Uygunsuzluk
2450 kotu 719B1BC aksları arası temel betonu kolon içi temel yüzeyi perdah bozukluğu ,Yapım Yöntemine Uygunsuzluk
Saha temizlik imalata kişilere zarar verecek atık hurda maddelerin uzaklaştırılması ,İmalat Hatası
Beton tamiratlarında uygunsuz malzeme kullanımı bozuk tamirat işçiliği ,Malzeme Hatası
Kolon perde temel betonlarında beton dışında kalan demirlerin korunmaması betonlanması ,İmalat Hatası
Segregasyon ,Yapım Yöntemine Uygunsuzluk
Dilatasyonda izolasyona zarar verilmesi ,Yapım Yöntemine Uygunsuzluk
Kolon perde yüzeylerinde çokça büyükçe hava boşluğu çıkması ,Malzeme Hatası
Temel betonu kusurları ,İmalat Hatası
Kolonperde yüzeyinde hava boşluğu çıkması kalıp ek yerinde diş oluşması ,Malzeme Hatası
Betonarme imalatlarda eski kalıp malzemesi kullanılması ,Malzeme Hatası
Kalıp imalat kalitesi ,Malzeme Hatası
Döşeme betonu yüzey bozukluğu ,İmalat Hatası
Segregasyon ,Yapım Yöntemine Uygunsuzluk
Beton küründe gecikme ,Yapım Yöntemine Uygunsuzluk
Döşemede kirişte çatlak oluşması döşemede delik açılarak betonarmeye zarar verilmesi ,İmalat Hatası
Mekanik PVC tesisatların ağızlarının kapatılması korunması ,Yapım Yöntemine Uygunsuzluk
Park parsel B blok arası dilatasyon yalıtımı ,Yapım Yöntemine Uygunsuzluk
Kabayapı uygunsuzlukları ,İmalat Hatası
Kabayapı uygunsuzlukları ,İmalat Hatası
Tayrot delik tamiratları ,Yapım Yöntemine Uygunsuzluk
Kaba yapı uygunsuzlukları ,İmalat Hatası
Merdiven betonu kalıp işçilik bozukluğu ,İmalat Hatası
Kolon perdelerde segregasyon çıkması onaysız tamir harcı tamirat yapılması ,Malzeme Hatası
Döşeme betonlarının mm den düşük yüksek dökülmesi ,Yapım Yöntemine Uygunsuzluk
Şantiyede tertip düzenli çalışılmaması temizlik yapılmaması ,İmalat Hatası
Döşme betonunun cm yüksek dökülmesi perde betonu dökümünde soğuk derzden beton akıntısı ,Yapım Yöntemine Uygunsuzluk
Temel yanı sürme izolasyon yapılması imalat teslimi ,Yapım Yöntemine Uygunsuzluk
KolonPerde Yüzeylerinde kuş gözü hava boşluğu oluşması ,Malzeme Hatası
Merdiven perdelerinde kamera boru bırakılmaması ,Yapım Yöntemine Uygunsuzluk
Merdiven betonu işçilik bozukluğu ,İmalat Hatası
Kolon  perde beton yüzeylerinde kuş gözü hava boşluğu oluşması ,Malzeme Hatası
Erken Kalıp Sökümü ,Yapım Yöntemine Uygunsuzluk
Temel drenaj çukurlarına pompa konularak suların çekilmesi açık süzgeç ağızlarının kapatılması ,İmalat Hatası
Asansör Mekanik Şaftlarda Standartlara Uygun Olmayan Platform Yapılması ,İmalat Hatası
Saha temizlik imalata kişilere zarar verecek atık hurda maddelerin uzaklaştırılması ,İmalat Hatası
Döşeme betonunun mm yüksek dökülmesi ,İmalat Hatası
Kolon Yüzeyinde Segregasyon oluşması Kiriş Birleşiminde Boşluk Çıkması ,İmalat Hatası
İksa tarafı tek yüzlü perdeden çift yüzlü perdeye geçişte membranın içerde kalması sürme yalıtım membran birleşiminin sağlıklı yapılamaması ,Yapım Yöntemine Uygunsuzluk
Betonarme perdede rezervasyon kontrolü yapılmadan kalıbının kapatılması betonunun dökülmesi ,Yapım Yöntemine Uygunsuzluk
Merdivenlerde borulama takipsizliği borulamanın kat sahanlığı bağlantısı yapılmadan betonunun dökülmesi ,Yapım Yöntemine Uygunsuzluk
KolonPerdelerde Döşemelerde Eski Yıpranmış Playwood Kullanılması ,Malzeme Hatası
Temel betonunun mm yüksek dökülmesi ,Yapım Yöntemine Uygunsuzluk
Kolon Perde Yüzeyinde Segregasyon oluşması Kiriş Birleşiminde Boşluk Çıkması ,İmalat Hatası
İksa tarafında izolasyon yapılmadan mıcır dolgusunun yapılması xps üzeri drenaj levhası konulmadan mıcır dolgusunun yapılması ,Yapım Yöntemine Uygunsuzluk
Kaba Yapı Uygunsuzlukları ,İmalat Hatası
Otopark FS08 7ve 6 Bodrum Kat Merdiven Betonu İşçilik Bozukluğu Kalıp Temizliği ,İmalat Hatası
Segregasyon Kaba Yapı Uygunsuzlukları ,Yapım Yöntemine Uygunsuzluk
Temel altı yalıtımın zarar görmesi demirlerin betonlanması soğuk derzden beton akması ,Yapım Yöntemine Uygunsuzluk
Segregasyon Uygunsuz Yöntemle Tamirat Yapılması ,İmalat Hatası
Kule AS3AS4 kolonlarında beton karışımından kaynaklı sürdozaj olması boşluk oluşması paspayı bölgesindeki betonun kopması ,Malzeme Hatası
Kule otopark 1 Bodrum kat tavanı 010 020 040 kotu döşemeleri beton döküm kusurları ,İmalat Hatası
Otopark 9etap 6 bodrum kat tavanı 1750 kotu döşemesi perdah bozukluğu üzerine priz almadan çıkılması perde demirinin oynatılması ,İmalat Hatası
İksa tarafı kademenin olduğu bölgede drenaj bırakılan Q50’lik pvc boru uçlarının bulunamaması ,İmalat Hatası
Otoparkta kalıp yağı varillerinden temel üzerine yağ akıtılması ,İmalat Hatası
Otopark asansör çukuru temel beton üzeri perde diplerinde şerbet çamur tabakası birikmesi ,İmalat Hatası
Döşeme betonunun ve35 mm yüksek dökülmesi ,İmalat Hatası
Planer Cephe çelik kolon ayak ankrajının beton kotundan mm yüksek konulması ,İmalat Hatası
Otopark 2 Bodrum kat tavanı 350 kotu döşemesi beton döküm kusurları ,Yapım Yöntemine Uygunsuzluk
Otopark 2Bodrum 700350 kotları arası kolon kiriş birleşimlerindeki beton kusurları ,Yapım Yöntemine Uygunsuzluk
Kule 1kat 6801290 kotları arası A detayı perdesi ek yerinde diş oluşması ,İmalat Hatası
Otopark 1bodrum kat 350040 kotları arası BP3 perdesinde segregasyon oluşması ,Yapım Yöntemine Uygunsuzluk
Perde Kalıplarındaki Playwood’ların Yıpranması Filmlerinin Soyulması Gereğinden Fazla Delinmesi ,Malzeme Hatası
Döşeme betonunun mm yüksek dökülmesi ,İmalat Hatası
Kule 680 kotu 2kısım döşeme betonu hk ,Yapım Yöntemine Uygunsuzluk
Otopark 2Bodrum tavanı 350 kotu döşemesinde kalıp temizliği segregasyon oluşması ,Yapım Yöntemine Uygunsuzluk
Otopark 7etap 1400 kotu döşemesi şerbet birikintileri beton karışım sorunları ,Malzeme Hatası
Perde Kalıplarındaki Playwood’ların Yıpranması Filmlerinin Soyulması Gereğinden Fazla Delinmesi ,Malzeme Hatası
Otopark 9etap 1400 7etap 700 kotu döşemeleri soğuk derzlerde önceki döşeme tarafına beton sızıntısı kısmen diş oluşması ,İmalat Hatası
Otopark 10etap 1750 kotu döşemesi soğuk derzlerde önceki döşeme tarafına beton sızıntısı kısmen diş oluşması ,İmalat Hatası
Kule Otopark 7bodrum kat su çamur birikintisi ,İmalat Hatası
Kule3 2Bodrum kat tavanı 350 kotu döşemesi kirişlerde boşluk çıkması segregasyon oluşması ,Yapım Yöntemine Uygunsuzluk
Otopark B5 2450 2100 kotları arası BP4 asansör perdesinde şakül kaçıklığı ,Yapım Yöntemine Uygunsuzluk
Otopark 11etap 2450 2100 kotları arası ATP1 perdesi AS236 kolonu tekyüz kalıbının üst tarafının koridora doğru açılması ,İmalat Hatası
Kule 12901790 kotları arası A detayı 2kısım perdesinde segregasyon oluşması ,İmalat Hatası
Giriş tagı ankrajlarının antipas yapılması bulonların korumaya alınması ,Malzeme Hatası
Merdiven sahanlıklarında filizlerin çıkarılması sırasında perdenin gereğinden fazla kırılması tamirat işlerinin gecikmesi ,İmalat Hatası
İksa tarafında ebat olarak drenaj uygun olmayan malzeme getirilmesi dolgu yapılması ,Malzeme Hatası
Kule 1790 döşemesi AK aksı cephe kenarının cephe ankrajlarının kaçıklığı ,İmalat Hatası
Kule 12901790 kotları arası B detayı perdesi 1kısım perdesinde segregasyon oluşması ,İmalat Hatası
Giriş Tagı ankrajlarının korumaya alınmaması bir bulonun kırılması bir bulonun eğilmesi ,Malzeme Hatası
Kule 2290 2790 kotları arası BS05 nolu kolonda uygunsuz yöntemle tamirat yapılması ,Malzeme Hatası
Segregasyon Kaba Yapı Uygunsuzlukları ,İmalat Hatası
Kaba Yapı Uygunsuzlukları ,İmalat Hatası
Otopark 2100 kotu 11etap döşeme üstü perdah yapılamaması yüzey pürüzlüğü ,İmalat Hatası
Kule 2720 döşemesi 1etap cephe kenarı perdahı ankrajların montaj kot bozukluğu ,İmalat Hatası
Otopark 3ve 8etap 700075 arası para transfer girişi rampa soğuk derz kısmında betonda yükseklik oluşması ,İmalat Hatası
Kule 2720 döşemesi 1etap cephe ankrajlarının asansör şaft kenarının kaçıklığı ,İmalat Hatası
Kule 1790 döşemesi asansör şaft kanarı cephe ankraj kaçıklığı ,İmalat Hatası
Kule 2720 döşemesi 2etap cephe kenarının cephe ankrajlarının kaçıklığı ,İmalat Hatası
Jeneratör önü cephe 040 kotu ankrajlarının konulmaması hk ,Yapım Yöntemine Uygunsuzluk
Otopark 9etap 350010 Kotları Arası VIP Garaj Rampasında Beton Döküm İşçiliğinden Kaynaklı Ondülasyon Oluşması ,İmalat Hatası
Kule 3etap 2290 kotu döşemesinde cehe ankrajlarının asansör boşluklarının dış kenarın akslarından kaşması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule 2290 döşemesi cephe ankraj aks kot bozuklukları ,İmalat Hatası
Döşeme kalıplarındaki playwoodların yıpranması filmlerinin soyulaması ,İmalat Hatası
Otopark 10etap 2100 1750 kotu döşemeleri soğuk derzlerde önceki döşeme tarafına beton sızıntısı kısmen diş oluşması ,İmalat Hatası
B5 Otopark döşemesinde asansör boşluklarının akslarından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Otopark 14001050 kotları arası FS09 merdiveni beton işçilik bozukluğu ,İmalat Hatası
B6 Otopark 2450 kotu temelinde kolonun aksından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Otopark 11etap 17501400 kotları arası ATP1 perdesinin tekyüz bölümünde kalıp açması betonda diş oluşması ,İmalat Hatası
Otopark 11Etap 6 Bodrum kat tavanı 1750 kotu döşemesi beton döküm kusurları ,İmalat Hatası
B3 bölgesi 600 kotu döşemesinde konsolun aksından kaması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Perdelerde Yırtık Açılması ,İmalat Hatası
Otopark 10etap 1050 kotu döşemesi soğuk derzlerde önceki döşeme tarafına beton sızıntısı kısmen diş oluşması ,İmalat Hatası
Kule 3580 kotu BK144 kiriş segregasyonu hk ,İmalat Hatası
Kule 2290 kotu planar cephe çelik kolon bağlantı ankrajı bölgesinin demir güçlendirmesi yapılmadan betonun dökülmesi ,Yapım Yöntemine Uygunsuzluk
Kule FS01 2720  3150 otopark FS03 1750 1400 kotları arası merdiven betonu yüzey bozuklukları ,İmalat Hatası
Kule 2etap 17902290 kotları arası çekirdek perde A detayı hk ,Malzeme Hatası
7bodrum kat temel içi üst kat iniş otopark süzgeç drenaj çukurlarının ağızlarının açık bırakılması içlerine çamur dolması ,Yapım Yöntemine Uygunsuzluk
Kule 3150 döşemesi şaft aks kaçıklıkları cephe ankrajı kot bozuklukları 2 etap beton döküm kusurları hk ,İmalat Hatası
Kule 1etap 3150 kotu döşeme cehe ankrajlarının aksından kaşması betonun kotundan yüksek dökülmesi ,İmalat Hatası
B11 bölgesi 2450 kotu BTP3 perde filizleri hk ,Yapım Yöntemine Uygunsuzluk
Onaylı olmayan kalıp yağı kullanılması ,İmalat Hatası
Kule FS01 merdiveni perdeleri 010  3150 kotları arası kabayapı uygunsuzlukları ,İmalat Hatası
Kule FS02 merdiveni perdeleri 010  2720 kotları arası kabayapı uygunsuzlukları ,İmalat Hatası
Kolon Perde Döşeme Kirişlerdeki Karot Boşluklarının Graut Doldurulması ,Yapım Yöntemine Uygunsuzluk
Otoparkta JCB Bobcat Traktör vs benzer mobil araçlardan temel üzerine yağ akıtılması ,İmalat Hatası
nolu NCR’ların kapatılması 7bodrum kat temel içi üst kat iniş otopark süzgeç drenaj çukurlarının ağızlarının açık bırakılması içlerine çamur dolması ,Yapım Yöntemine Uygunsuzluk
Kule 1etap 3580 kotu döşeme cehe ankrajları asansör boşluk şaftların aksından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule 3580 kotu döşemesinde segregasyon oluşması cephe ankraj etrafı beton yüzey bozuklukları ,Yapım Yöntemine Uygunsuzluk
Döşemelerde eski yıpranmış playwood kullanılması ,Malzeme Hatası
B11 otopark 2100 kotu B2 600 kotu döşeme kalıplarında Eskimiş Yıpranmış Playwoodların kullanılması ,Malzeme Hatası
Temel üzerinde kolon filizlerinin eğilmesi diplerinde temizlik ihtiyacı ,Yapım Yöntemine Uygunsuzluk
B blok 010 kotu giriş tagı atrium giri planar cephe çelik kolon ankraj plakalarının korunması hk ,Yapım Yöntemine Uygunsuzluk
Otopark 10etap 010 kotu döşemesi soğuk derzlerde önceki döşeme tarafına beton sızıntısı kısmen diş oluşması ,İmalat Hatası
B6 Bölgesi 1750 kotu rampa ters kirişlerine mastarsı vibratörsüz beton dökülmesi ,İmalat Hatası
Otopark 11etap 350 kotu döşemesi soğuk derzlerde önceki döşeme tarafına beton sızıntısı kısmen diş oluşması ,İmalat Hatası
P3P5P6ve P7etaplar 010680 kotları arası kolon perdelerde segregasyon diş oluşması ,İmalat Hatası
Kaba Yapı Kusurları Kule 4010 2720 kotu ,İmalat Hatası
B5 otopark 24502100 kotları arası FS3 21001750 kotları arası Fs5 merdivenleri basamaklarında beton birikintisi sahanlıkta boşluk segregasyon ,İmalat Hatası
010 kotu B5 kule 2etap 1400 kotu B5B6 otopark 2100 kotu B10 otopark kule 2etap soğuk derzlerinde açıkta donatı kalması diş oluşumu ,İmalat Hatası
Kule 4440 1etap döşemesi şaft aks kaçıklıkları cephe ankraj çevresi kot bozuklukları döşeme betonunun kotundan yüksek dökülmesi hk ,İmalat Hatası
Kuel 4010 kotu döşeme asansör boşluk şaftların aksından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Otopark 14etap 2100 kotu döşemesi yıpranmış playwood kullanılması sonucu beton yüzey bozuklukları soğuk derzlerde önceki döşeme tarafına beton sızıntısı kısmen diş oluşması ,Yapım Yöntemine Uygunsuzluk
Kule 4010  4440 kotları arası FS02 merdiven betonu yüzey bozuklukları ,Yapım Yöntemine Uygunsuzluk
Kule 2etap 44404870 kotları arası FS1 1etap 4870 5300 kotları arası FS2 merdivenleri perde kalıbının açarak diş yapması basamaklarında beton birikintisi sahanlıkta boşluk oluşması ,Yapım Yöntemine Uygunsuzluk
Kule 4440 kotu döşeme asansör boşluk şaftları döşeme dış kenarlarının akısndan kaçması betonun kotundan yüksek alçak dökülmesi ,İmalat Hatası
Kule 2etap 4870 kotu döşeme asansör boşluk şaftları cephe ankrajları döşeme dış kenarlarının aksından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule 4870 kotu1etap döşemesi asansör şaftları cephe ankrajları döşeme dış kenarlarının aksından kaçması ankrajların çevresinin kot bozuklukları genel döşemenin kotundan yüksek düşük dökülmesi ,İmalat Hatası
Kule 4440  4870 kotları arası 1etap FS01 merdiven betonu yüzey bozukluğu ,İmalat Hatası
Kule 4440  4870 kotları arası 2etap FS02 merdiven betonu yüzey bozukluğu ,İmalat Hatası
Otopark 350010 Kotları Arası VIP Garaj Rampasında 3Kısım Beton Döküm İşçiliğinden Kaynaklı Ondülasyon Oluşması ,İmalat Hatası
Kule 4870 kotu 2etap döşemesi asansör şaftları döşeme dış kenarlarının aksından kaçması cephe ankrajların çevresinin kot bozuklukları genel döşemenin kotundan yüksek düşük dökülmesi ,İmalat Hatası
16Etap temel betonunun bölümlerde cm düşük  cm yüksek dökülmesi yüzey perdah bozukluğu ,İmalat Hatası
Kule 2etap 61606590 kotları arası kolon perde betonlarının geç priz alması yüzey bozuklukları oluşturması ,İmalat Hatası
Yapısal tamir harcı kullanılmadan sadece ince tamir harcıyla tamirat yapılması onaylı olmayan ince tamir harç malzemesi kullanılması ,Malzeme Hatası
Kule 5300 kotu döşemesi asansör şaftları döşeme dış kenarlarının aksından kaçması cephe ankraj çevrelerinin kot bozukluğu döşemenin kotundan yüksek dökülmesi ,İmalat Hatası
Otopark 12etap 2100 kotu döşemesi 24502100 kotları arası FS06 FS04 merdiven betonu işçilik bozukluğu ,İmalat Hatası
Kule 5300 kotu döşeme asansör boşluk şaftlar cephe ankrajları döşeme dış kenarlarının aksından kaşması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule 5730 kotu döşeme asansör boşluk şaftlar cephe ankrajları döşeme dış kenarlarının aksından kaşması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule 5730 kotu döşeme asansör boşluk şaftlar cephe ankrajları döşeme dış kenarlarının aksından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule FS01 merdiven yan perdeleri 3150  5730 kotları arası kaba yapı uygunsuzlukları ,İmalat Hatası
Kule FS02 merdiven yan perdeleri 2720  5730 kotları arası kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 5300  5730 kotları arası FS01 FS02 merdivenleri beton işçilik bozuklukları ,İmalat Hatası
Kule 6160 kotu döşeme asansör boşluk şaftlar cephe ankrajları döşeme dış kenarlarının aksından kaşması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Otopark 12 Etap 2100 kotu döşemesi 24501750 arası buz deposu rezerv alan soğutma perdeleri kaba yapı kusurları ,İmalat Hatası
Kule 1etap 65907020 kotları arası FS02 1ve 2etap 57306160 kotları arası FS01 FS02 merdivenleri ilgili kaba inşaat uygunsuzlukları ,İmalat Hatası
Kule 57306160 A perdesinde betonun geç priz alması bir kısmının dökülmesi kolonperdelerde segregasyon uygunsuz yöntemle tamirat kalıp ek yeri diş oluşması ,İmalat Hatası
13etap temel betonunun işaretli bölgelerde 0 45 cm kotundan yüksek dökülmesi otopark kısmında perdah yapılmaması ,İmalat Hatası
Kule 6160 kotu döşemesi asansör şaft kenarlarının aksından kaçması cephe ankraj kot bozukluğu betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule 6590 kotu döşemesinde asansör boşluk şaftlarıcephe ankrajları döşeme dış kenarlarının aksından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule 2Etap 6160 kotu VT7 asansör boşluğu 1Etap 6590 kotu VT2 VT3 asansör boşluklarının kalıp açması sonucu daralmaları ,İmalat Hatası
Kule 1Etap 5730 kotu döşeme üzerine akan betonun kütle oluşturması B10 Otopark Su deposu toplama kanalı içine akan betonun kanalı doldurması ,Yapım Yöntemine Uygunsuzluk
Kule 7020 kotu döşemesinde cephe ankrajları döşeme dış kenarlarının aksından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule 6590 kotu döşemesi asansör şaftları döşeme dış kenarlarının cephe ankrajlarının aksından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
Kule 5730 6160 Podyum 600 kotu döşemeleri beton öncesi yetersiz kalıp temizliği ,İmalat Hatası
Otopark 12etap 1750 kotu döşeme kusurları ,İmalat Hatası
Kule 7450 kotu döşemesinde asansör boşlukları döşeme dış kenarlarının aksından kaçması betonun kotundan yüksek dökülmesi ,İmalat Hatası
B10 otopark 17501400 kotları arası 14ADAK aksları arası FS06 asansör dış toprak perdeleri kolonlarda ciddi segregasyonlar oluşması ,İmalat Hatası
B6 otopark 2450 2100 kotları arası toprak dolgu üzeri rampa betonunun döşeme kotunun üstünde dökülmesi beton yüzeyinin dalgalı olması ,İmalat Hatası
Saha Tertip Düzen Temizlik ,Yapım Yöntemine Uygunsuzluk
B10B11 otopark 1750 kotu kule 2etap 8310 kotu döşeme otopark kule perde kalıplarında eskimiş yıpranmış playwoodların kullanılması ,Yapım Yöntemine Uygunsuzluk
600 kotu çelik imalat ankraj plakalarının antipas yapılması korumaya alınması ,Yapım Yöntemine Uygunsuzluk
Ziraat tarafı dilatasyonda onaysız farklı özellikteki malzemelerin bir arada kullanılması ,Malzeme Hatası
Kule çekirdek perde kalıplarındaki playwood’ ların aşırı yıpranması ,Malzeme Hatası
Kule 7450 kotu döşemesi asansör şaftlarının aksından kaçması betonun kotundan yüksek düşük dökülmesi ,İmalat Hatası
Onaysız kalın tamir harç malzemesi kullanılması ,Malzeme Hatası
Kule 2etap 8310 kotu döşemesinde asansör boşlukları cephe ankrajları döşeme dış kenarlarının aksından kaçması yüksek beton dökülmesi ,İmalat Hatası
Kule 2etap 78808310 kotları arası FS01 merdiven perdesinin diş oluşturması ,İmalat Hatası
Otopark 12etap 1400 1050 kotları arası ATP1 perdesinin tek yüz bölümünde 1050 döşemesi kiriş yanağında kalıp açması betonda diş oluşması ,İmalat Hatası
Kule 2 Etap 8740 kotu döşeme üzerinde beton prizini almadan imalat yapılması ,İmalat Hatası
Kule 78808310 kotları arası 1 Etap çekirdek VT4 asansör 2Etap VT1 asansör perdelerinde kalıplarındaki plywood parçalarının beton yüzeyine yapışıp kalması ,Malzeme Hatası
Kule 74507880 kotları arası çekirdek asansör perdelerinde kalıplardaki eskimiş yıpranmış playwood parçalarının beton yüzeyine yapışıp yüzey bozukluğu oluturması ,Malzeme Hatası
